thumb-index,index-middle,middle-ring,ring-pinky,class
92.20116,46.9223,46.30274,41.79224,four
97.11149,44.41408,41.35582,42.38646,four
100.21173,46.27736,40.90146,38.2999,four
105.50153,45.23826,42.67009,42.37556,four
108.18464,44.09458,39.69388,44.69295,four
106.64525,40.49325,40.39629,45.91873,four
104.42645,44.1702,39.92092,45.94553,four
106.57033,40.99673,41.58816,47.24316,four
111.37251,41.54645,35.65124,46.47208,four
93.34457,44.50653,36.41088,51.73097,four
103.67034,46.65624,36.53778,48.91905,four
108.15654,47.7737,43.20736,48.1885,four
114.41087,48.98703,43.26138,46.50432,four
97.84569,50.03828,44.39001,44.87718,four
74.15446,53.72972,44.36926,47.33208,four
62.58539,52.56022,43.1142,46.77636,four
94.95177,43.04956,46.09886,43.55768,four
115.85514,50.08563,42.68985,46.80047,four
112.51394,47.26629,43.84228,46.42944,four
102.94023,44.86778,36.85526,43.13443,four
71.86728,32.86864,39.8672,43.88604,four
89.70335,41.84627,40.3313,44.28978,four
93.59732,43.73995,38.77223,42.74524,four
94.76699,45.22534,43.74644,42.71675,four
97.55357,47.33353,43.20869,42.88668,four
95.59579,50.26262,43.1631,40.16205,four
100.92162,49.37179,42.01342,44.04544,four
98.67414,50.46074,42.39192,43.81471,four
117.17074,47.51979,41.74979,46.84194,four
114.03764,45.47641,40.6202,45.5499,four
116.8082,45.45749,39.56934,45.23022,four
99.08283,41.74018,38.05824,43.68163,four
88.7761,39.78529,44.04498,41.58393,four
83.31977,31.71148,66.88811,22.13957,four
103.16957,39.35318,41.71866,43.8889,four
117.78152,39.72038,44.64008,43.4581,four
23.3759,110.49905,39.95725,47.25087,three
27.88469,108.20142,38.61432,45.92843,three
27.02574,104.62973,37.58283,45.47909,three
27.09108,105.29877,37.12709,45.50488,three
28.34717,105.53069,37.03236,45.42981,three
29.92668,108.14236,37.20854,46.09036,three
30.09677,107.56867,37.93916,46.32932,three
29.1634,107.18822,37.80141,46.21857,three
27.65436,104.27135,38.24639,45.86625,three
27.26168,104.44919,38.02034,45.77682,three
27.12333,104.26656,38.11082,45.74572,three
26.82839,104.73208,38.42861,45.82476,three
19.24186,103.25098,41.36771,42.23938,three
17.58462,119.72772,39.46099,44.51788,three
17.63645,124.89205,41.35704,45.7216,three
20.46113,112.47482,39.56849,45.97501,three
20.08453,98.30415,41.63371,45.01532,three
15.98015,93.57174,43.40928,44.31078,three
17.61652,108.85091,42.38971,44.51709,three
16.27324,103.47308,39.93246,43.7392,three
17.64178,106.24473,40.52312,44.3879,three
15.66844,109.51008,40.87557,44.86132,three
17.50603,106.36001,39.87469,42.50543,three
30.09059,105.13638,39.13367,41.09038,three
24.52252,111.55316,35.99716,41.13706,three
23.24871,102.9735,38.13425,42.66512,three
26.71024,102.31145,38.10209,45.25558,three
26.97131,101.99538,38.66867,44.43718,three
21.68863,99.80666,38.70821,43.93266,three
18.45306,109.86372,38.83922,44.26676,three
20.49743,120.97538,38.86388,45.2404,three
22.08647,119.678,40.28315,45.58919,three
21.22517,119.078,41.06814,46.36979,three
21.91793,115.04173,40.03168,45.2605,three
20.68629,112.58339,40.11221,44.65327,three
18.246,105.43724,39.55331,44.30331,three
16.43766,108.826,40.57102,45.02895,three
18.67878,111.81267,39.88708,44.6009,three
27.53503,111.95213,38.46593,43.74805,three
21.11651,105.51599,38.68967,43.74501,three
23.60838,111.49089,38.43651,43.53754,three
19.40757,108.53551,39.17699,44.02085,three
17.76014,97.23998,37.70956,42.91641,three
19.06714,106.37617,40.47427,41.8268,three
23.76284,95.69411,35.30909,42.47658,three
21.47273,98.33035,40.51234,41.89204,three
25.79217,100.7355,38.83232,40.27092,three
31.06322,106.69977,38.62135,41.66161,three
20.44049,106.80525,40.67072,43.65079,three
16.69826,97.20521,36.24747,43.7227,three
117.06079,49.76078,127.11469,15.21845,two
120.08054,53.16237,128.49156,15.37582,two
121.8175,53.09277,126.79555,15.3629,two
116.78303,43.20786,127.87448,15.14829,two
113.68333,50.9228,104.78338,15.50948,two
107.6571,35.57771,115.5882,18.34583,two
112.28951,39.33801,120.30934,16.82559,two
110.6163,39.14456,118.72595,17.00351,two
109.24438,132.13156,120.4017,19.00174,two
122.93046,48.20274,120.50076,12.94259,two
110.51524,43.12115,121.94479,14.58856,two
111.94595,50.51676,122.07861,12.06226,two
113.29897,55.23801,99.22258,11.70536,two
109.86543,140.64642,122.76478,13.26499,two
113.42783,62.42623,116.71098,16.14343,two
110.17794,61.49689,112.14049,16.62158,two
106.31866,61.08407,99.5713,16.74134,two
99.99078,77.31332,68.42887,25.40731,two
105.20975,71.01786,60.54852,28.33323,two
117.64783,66.0526,117.96124,14.21406,two
120.87516,54.08551,122.0639,12.97201,two
121.41102,60.53165,122.13488,11.60366,two
117.9371,61.21468,121.19767,12.35083,two
104.67767,118.83443,72.09068,12.48284,two
102.79065,124.81578,89.40677,12.1961,two
110.83117,48.15382,112.83092,12.874,two
110.07213,45.47976,112.89751,12.23928,two
109.69962,47.39988,112.94144,12.2077,two
108.47137,47.8365,111.58284,12.32644,two
109.26723,49.59525,111.69672,12.1856,two
108.53276,47.72865,104.28005,12.12724,two
109.07205,47.58272,110.48254,12.38112,two
107.80956,48.16629,106.77773,12.22372,two
108.394,48.66474,107.53653,12.23766,two
108.50493,49.41893,107.57629,12.43457,two
109.87524,50.11623,107.13062,11.75386,two
110.45187,49.82788,111.19019,11.45943,two
110.08546,49.23948,111.30432,11.80568,two
110.07889,47.52768,113.76631,11.75443,two
109.79929,49.43009,114.06129,12.08277,two
109.06559,47.92026,112.47173,11.8216,two
108.64036,48.61611,111.73611,12.06813,two
108.28204,48.42207,102.28516,12.24932,two
107.18894,53.87313,86.47461,12.24081,two
108.37096,48.1591,106.15919,12.37497,two
107.48627,57.92635,79.65188,12.24163,two
107.49097,57.51595,80.4846,12.20219,two
107.89458,59.96318,75.29854,12.11295,two
107.83126,104.82308,72.75864,12.12541,two
109.43208,109.10046,95.38716,11.76893,two
111.17135,116.84758,12.48143,16.07826,one
109.49713,112.69894,13.80709,15.89358,one
103.92345,103.99607,21.76117,16.92904,one
83.64944,106.14795,14.0725,14.77372,one
55.52621,71.16322,18.85323,40.11779,one
79.7396,119.51767,14.72751,15.03541,one
84.9309,106.67348,14.71972,16.61284,one
83.07262,94.4689,29.39954,16.46931,one
90.14648,105.88551,19.04865,15.28711,one
91.09554,114.01633,17.68926,15.84848,one
91.12409,113.86275,17.20565,16.06383,one
94.50434,113.19678,16.77337,16.48354,one
95.35977,113.84781,16.65068,16.53009,one
92.22841,114.4447,15.47781,16.51802,one
92.03582,115.24606,15.55627,16.50176,one
91.15196,114.54443,15.57952,16.56875,one
90.86173,114.24252,15.8812,16.42896,one
91.97971,112.83533,15.57903,16.33802,one
92.71543,113.81902,14.98255,16.22185,one
89.65108,112.81403,14.98056,16.06579,one
90.72464,110.93336,14.85457,16.0037,one
92.15968,108.36734,14.93658,16.21206,one
90.81772,108.87167,14.82899,16.37503,one
91.00278,108.78371,14.72123,16.29952,one
89.59834,108.66919,15.04288,16.07662,one
87.79901,109.25949,15.29282,16.26866,one
89.64626,110.8889,15.52629,16.41762,one
91.86263,111.37431,16.3811,16.4036,one
87.80561,111.6957,16.56627,15.99991,one
93.72317,118.20134,16.01496,15.49663,one
100.38461,121.58821,15.6418,15.09158,one
101.72942,122.48914,14.69993,15.78529,one
98.70422,119.38853,14.98508,15.87826,one
102.13327,121.17529,14.75949,16.2265,one
74.75487,101.08824,13.85314,15.66352,one
38.60803,14.68384,12.88314,15.12308,one
98.57821,110.60045,16.88588,16.40496,one
94.58029,113.07649,14.9634,16.10717,one
91.71693,114.92112,15.30476,17.08605,one
98.64702,112.27946,14.67344,17.10605,one
94.38108,111.08266,14.42651,16.52608,one
94.27864,111.68736,14.36363,16.32588,one
91.86646,113.49409,13.93029,16.0134,one
91.56422,114.46909,13.42405,15.87497,one
91.87587,116.36998,13.34224,15.98315,one
91.5586,115.94703,13.46317,15.98976,one
90.03926,116.24143,13.25173,15.9251,one
91.85382,115.17332,13.29847,15.87478,one
91.81487,113.86213,13.3687,15.83167,one
91.07113,112.45524,13.45453,15.92567,one
42.29487,14.57647,13.26235,14.94755,fist
40.32681,10.10143,13.80661,15.24543,fist
39.35486,12.6987,13.67155,14.63873,fist
43.71257,10.52418,13.1535,15.20935,fist
45.04845,14.02058,13.51449,13.89655,fist
44.19257,12.08154,12.50959,15.80076,fist
33.75707,17.39,13.91319,15.94621,fist
38.82391,12.36805,13.64818,15.33255,fist
